iter	Logloss
0	0.5882658502
1	0.5281168254
2	0.4925598544
3	0.4708734411
4	0.4576074855
5	0.4482453299
6	0.4425633693
7	0.438993265
8	0.4358278539
9	0.4336554985
10	0.432598662
11	0.4317761882
12	0.4310736257
13	0.4306836039
14	0.4302568011
15	0.4295958985
16	0.4293764595
17	0.4291038832
18	0.4287974283
19	0.4285490669
20	0.4282637337
21	0.4280994264
22	0.4279564448
23	0.4277663054
24	0.4275558263
25	0.4273677562
26	0.4271760138
27	0.4269590068
28	0.4268793564
29	0.4267468255
30	0.4265700908
31	0.4264774584
32	0.4264207218
33	0.4263534334
34	0.4262830092
35	0.426191415
36	0.4261318728
37	0.4260557903
38	0.4258989176
39	0.4257920098
40	0.4256431795
41	0.4254678702
42	0.4252874318
43	0.4251293298
44	0.4250498068
45	0.424961403
46	0.4248214368
47	0.4246557015
48	0.4245768029
49	0.4244784327
50	0.4244139542
51	0.4243384109
52	0.4241955467
53	0.4240065999
54	0.4238740179
55	0.4237437018
56	0.4235826739
57	0.4234032244
58	0.4232762452
59	0.423108879
60	0.4229899723
61	0.4228091412
62	0.4226465793
63	0.4225674179
64	0.4224161832
65	0.42220332
66	0.4220221296
67	0.42185769
68	0.4217995477
69	0.4216570504
70	0.4214728482
71	0.4212327391
72	0.4211246374
73	0.420907981
74	0.4207815304
75	0.4205578582
76	0.4204368865
77	0.420380963
78	0.420131714
79	0.4200183509
80	0.4198955074
81	0.419732684
82	0.4195970746
83	0.4194722921
84	0.4192423885
85	0.4191065533
86	0.4189982765
87	0.4188687436
88	0.4185837985
89	0.418428919
90	0.4182261991
91	0.4180622831
92	0.4179587356
93	0.417786923
94	0.4175892609
95	0.4174795475
96	0.4173226094
97	0.4170993814
98	0.4169713286
99	0.4167708295
100	0.4165370035
101	0.4164708627
102	0.4162983995
103	0.4161233525
104	0.4160787872
105	0.4159136663
106	0.4157968044
107	0.4156377654
108	0.4154906915
109	0.4153576912
110	0.4151966338
111	0.4151131199
112	0.414977833
113	0.4148114182
114	0.4147417942
115	0.4146123952
116	0.4145604508
117	0.4144274823
118	0.4143124613
119	0.414234029
120	0.4140889025
121	0.4139637279
122	0.4138160122
123	0.4137515354
124	0.4136285939
125	0.413501514
126	0.4133949182
127	0.413224145
128	0.4131500078
129	0.4129279084
130	0.4127572757
131	0.4126655718
132	0.412481564
133	0.4123620699
134	0.4121891247
135	0.4119745975
136	0.4118059035
137	0.411717188
138	0.4116756545
139	0.4115278825
140	0.4113804531
141	0.4112107395
142	0.4110978607
143	0.41091647
144	0.4107653811
145	0.4105998111
146	0.4104201139
147	0.4103625052
148	0.4102319623
149	0.4100778868
150	0.4099710597
151	0.40981837
152	0.4096578431
153	0.409592466
154	0.4095369395
155	0.4094103295
156	0.4092699322
157	0.409194217
158	0.4090678877
159	0.4090350414
160	0.4088930671
161	0.4088894922
162	0.4087788962
163	0.4086102288
164	0.4085890331
165	0.4084959647
166	0.4084497691
167	0.408357953
168	0.4082487271
169	0.4081954396
170	0.4081075078
171	0.4079784023
172	0.4078607727
173	0.4077825455
174	0.4076831525
175	0.4075690346
176	0.4074085562
177	0.4072334538
178	0.4071631961
179	0.4070251857
180	0.4067963756
181	0.4066266081
182	0.4065980951
183	0.4064185958
184	0.4062958109
185	0.4061658775
186	0.4059832156
187	0.4057352101
188	0.4055580431
189	0.4054416001
190	0.405279296
191	0.4051849043
192	0.4050115847
193	0.4048529506
194	0.4047916573
195	0.4046412095
196	0.4046127913
197	0.4045047267
198	0.4043992667
199	0.404270745
